step,day,hour,money,inv_WHEAT,inv_CARROT,inv_TOMATO,inv_STRAWBERRY,inv_MELON,inv_EGG,inv_MILK,inv_WOOL,inv_FERTILIZER,price_WHEAT,price_CARROT,price_TOMATO,price_STRAWBERRY,price_MELON,price_EGG,price_MILK,price_WOOL,price_FERTILIZER,inv_WHEAT_change,inv_CARROT_change,inv_TOMATO_change,inv_STRAWBERRY_change,inv_MELON_change,inv_EGG_change,inv_MILK_change,inv_WOOL_change,inv_FERTILIZER_change
0,0,0,3000.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,25,35,60,120,250,50,160,200,100,,,,,,,,,
1,0,1,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
2,0,2,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,4,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,5,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,6,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,7,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,8,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,9,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,10,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,11,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,12,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,13,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,14,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,15,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,16,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,17,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,18,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,19,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,20,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,21,3000.0,9999,9999,9999,9999,9999,9999,9999,9999,10000,26,35,60,128,256,50,169,206,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
